nazev_mesta|pocet_obyvatel|latitude|longitude
Abertamy|NA|50.3687443|12.8182601
Adamov|NA|49.3009010|16.6544811
Andělská Hora|NA|50.0608138|17.3890959
Aš|NA|50.2216257|12.1895886
Bakov nad Jizerou|NA|50.4801187|14.9388306
Bavorov|NA|49.1215197|14.0786042
Bechyně|NA|49.2953802|14.4688400
Benešov|NA|49.7828898|14.6875926
Benešov nad Ploučnicí|NA|50.7413413|14.3112047
Benátky nad Jizerou|NA|50.2917670|14.8260014
Beroun|NA|49.9640292|14.0733907
Bezdružice|NA|49.9072420|12.9711049
Bečov nad Teplou|NA|50.0835097|12.8386736
Blansko|NA|49.3636494|16.6442394
Blatná|NA|49.4239848|13.8840972
Blovice|NA|49.5821789|13.5403535
Blšany|NA|50.2173339|13.4712007
Bochov|NA|50.1504167|13.0454108
Bohumín|NA|49.9041537|18.3574288
Bohušovice nad Ohří|NA|50.4931600|14.1504836
Bojkovice|NA|49.0389132|17.8148347
Bor|NA|49.7117435|12.7752132
Borohrádek|NA|50.0978039|16.0932512
Borovany|NA|48.8998724|14.6419628
Boskovice|NA|49.4877983|16.6601600
Boží Dar|NA|50.4097338|12.9244538
Brandýs nad Labem-Stará Boleslav|NA|50.1912412|14.6649786
Brandýs nad Orlicí|NA|50.0019438|16.2852790
Brno|NA|49.1922443|16.6113382
Broumov|NA|50.5854557|16.3322957
Brtnice|NA|49.3068037|15.6766872
Brumov-Bylnice|NA|49.0914652|18.0226805
Bruntál|NA|49.9885113|17.4652901
Brušperk|NA|49.7003751|18.2216061
Budišov nad Budišovkou|NA|49.7949749|17.6289202
Budyně nad Ohří|NA|50.4042725|14.1259073
Bučovice|NA|49.1492236|17.0018640
Buštěhrad|NA|50.1558258|14.1888170
Bystré|NA|49.6282564|16.3469811
Bystřice|NA|49.7321319|14.6674010
Bystřice nad Pernštejnem|NA|49.5229885|16.2610589
Bystřice pod Hostýnem|NA|49.3994510|17.6737912
Bzenec|NA|48.9736321|17.2668112
Bílina|NA|50.5486059|13.7746622
Bílovec|NA|49.7567664|18.0162300
Bělá nad Radbuzou|NA|49.5913115|12.7175309
Bělá pod Bezdězem|NA|50.5014795|14.8041263
Bělčice|NA|49.5026548|13.8758456
Břeclav|NA|48.7594008|16.8813137
Březnice|NA|49.5573532|13.9508490
Březová|NA|49.9040777|13.8830074
Březová nad Svitavou|NA|49.6447658|16.5174116
Břidličná|NA|49.9116692|17.3710729
Chabařovice|NA|50.6728303|13.9424879
Cheb|NA|50.0793562|12.3703530
Chlumec|NA|48.8710287|14.3952883
Chlumec nad Cidlinou|NA|50.1543950|15.4603384
Choceň|NA|50.0010925|16.2240034
Chodov|NA|49.4178263|12.8301371
Chomutov|NA|50.4606456|13.4178324
Chotěboř|NA|49.7202055|15.6704437
Chrast|NA|49.9018929|15.9340257
Chrastava|NA|50.8172919|14.9688590
Chropyně|NA|49.3567094|17.3644698
Chrudim|NA|49.9511458|15.7947559
Chvaletice|NA|50.0348654|15.4184231
Chyše|NA|50.1045405|13.2488514
Chýnov|NA|49.4067686|14.8112157
Chýně|NA|50.0606462|14.2272998
Chřibská|NA|50.8632420|14.4829700
Cvikov|NA|50.7766765|14.6329751
Dačice|NA|49.0818108|15.4372160
Dašice|NA|50.0284447|15.9124400
Desná|NA|49.8075422|16.2240471
Deštná|NA|49.2651773|14.9238356
Dobrovice|NA|50.3693260|14.9623322
Dobruška|NA|50.2921062|16.1605457
Dobřany|NA|49.6554407|13.2908386
Dobřichovice|NA|49.9275312|14.2743416
Dobříš|NA|49.7813749|14.1704372
Doksy|NA|50.1183818|14.0467382
Dolní Benešov|NA|49.9210128|18.1083515
Dolní Bousov|NA|50.4384383|15.1276531
Dolní Kounice|NA|49.0702561|16.4649901
Dolní Poustevna|NA|50.9803948|14.2873374
Domažlice|NA|49.4403546|12.9297480
Dubá|NA|50.5403416|14.5402337
Dubí|NA|50.6812997|13.7887710
Dubňany|NA|48.9175078|17.0955296
Duchcov|NA|50.6040315|13.7461464
Dvůr Králové nad Labem|NA|50.4319053|15.8139947
Děčín|NA|50.7824196|14.2147221
Františkovy Lázně|NA|50.1223741|12.3488519
Frenštát pod Radhoštěm|NA|49.5474224|18.2117067
Fryšták|NA|49.2852044|17.6834631
Frýdek-Místek|NA|49.6856350|18.3483416
Frýdlant|NA|50.9216775|15.0794594
Frýdlant nad Ostravicí|NA|49.5930718|18.3596301
Fulnek|NA|49.7126449|17.9031553
Golčův Jeníkov|NA|49.8160108|15.4772768
Habartov|NA|50.1825705|12.5501639
Habry|NA|49.7564454|15.4848445
Hanušovice|NA|50.0784174|16.9347166
Harrachov|NA|50.7720087|15.4315431
Hartmanice|NA|49.1703098|13.4548124
Havlíčkův Brod|NA|49.6069420|15.5795748
Havířov|NA|49.7801136|18.4368451
Hejnice|NA|50.0558831|16.3994139
Heřmanův Městec|NA|49.9470444|15.6646587
Hlinsko|NA|49.7625672|15.9073390
Hluboká nad Vltavou|NA|49.0522493|14.4342702
Hluk|NA|48.9883280|17.5268918
Hlučín|NA|49.8967550|18.1870424
Hodkovice nad Mohelkou|NA|50.6656427|15.0901298
Hodonín|NA|48.8563914|17.1234655
Holešov|NA|49.3337180|17.5786751
Holice|NA|50.0662793|15.9858513
Holýšov|NA|49.5936108|13.1012935
Hora Svaté Kateřiny|NA|50.6062324|13.4369475
Horažďovice|NA|49.3210308|13.7003604
Horní Benešov|NA|49.9668211|17.6026237
Horní Blatná|NA|50.3902893|12.7702188
Horní Bříza|NA|49.8411529|13.3573652
Horní Cerekev|NA|49.3192961|15.3291878
Horní Jelení|NA|50.0490103|16.0839638
Horní Jiřetín|NA|50.5730927|13.5471700
Horní Planá|NA|48.7673396|14.0321919
Horní Slavkov|NA|50.1390720|12.8077875
Horšovský Týn|NA|49.5298566|12.9436692
Hostinné|NA|50.5409308|15.7232850
Hostivice|NA|50.0815167|14.2585743
Hostomice|NA|49.8252575|14.0456045
Hostouň|NA|50.1143862|14.2012762
Hořice|NA|50.3665337|15.6321735
Hořovice|NA|49.8363239|13.9028670
Hoštka|NA|50.4885904|14.3349996
Hradec Králové|NA|50.2092113|15.8327512
Hradec nad Moravicí|NA|49.8709009|17.8754742
Hranice|NA|49.5481764|17.7347407
Hranice|NA|49.5481764|17.7347407
Hrob|NA|50.6590894|13.7255293
Hrochův Týnec|NA|49.9594637|15.9105428
Hronov|NA|50.4799692|16.1820196
Hrotovice|NA|49.1076992|16.0606741
Hroznětín|NA|50.3093974|12.8718012
Hrušovany nad Jevišovkou|NA|48.8299011|16.4022403
Hrádek|NA|48.7731024|16.2717745
Hrádek nad Nisou|NA|50.8522229|14.8436667
Hulín|NA|49.3170041|17.4634978
Humpolec|NA|49.5418861|15.3586709
Husinec|NA|50.1737416|14.3750778
Hustopeče|NA|48.9399831|16.7369738
Ivanovice na Hané|NA|49.3054490|17.0936032
Ivančice|NA|49.1015881|16.3776051
Jablonec nad Jizerou|NA|50.7034400|15.4295952
Jablonec nad Nisou|NA|50.7240899|15.1710958
Jablonné nad Orlicí|NA|50.0296516|16.6001654
Jablonné v Podještědí|NA|50.7657554|14.7614324
Jablunkov|NA|49.5767408|18.7645761
Janov|NA|50.2104016|13.6398017
Janovice nad Úhlavou|NA|49.3452626|13.2175818
Janské Lázně|NA|50.6305685|15.7806938
Jaroměř|NA|50.3555139|15.9189129
Jaroměřice nad Rokytnou|NA|49.0943503|15.8932579
Javorník|NA|49.6864955|15.0265313
Jemnice|NA|49.0192524|15.5698865
Jesenice|NA|50.0984577|13.4717743
Jesenice|NA|50.0984577|13.4717743
Jeseník|NA|50.2296385|17.2046012
Jevišovice|NA|48.9874765|15.9896915
Jevíčko|NA|49.6324875|16.7118442
Jihlava|NA|49.3960640|15.5903065
Jilemnice|NA|50.6091761|15.5064747
Jindřichův Hradec|NA|49.1443265|15.0033540
Jirkov|NA|50.5000597|13.4476266
Jistebnice|NA|49.4855868|14.5277008
Jičín|NA|50.4370452|15.3516528
Jiříkov|NA|50.9951393|14.5690963
Jáchymov|NA|50.3629787|12.9299257
Jílové|NA|50.7610971|14.1041986
Jílové u Prahy|NA|49.8952972|14.4933502
Kadaň|NA|50.3761991|13.2710364
