city	population	latitude	longitude
Abertamy	831	50.3687443	12.8182601
Adamov	4616	49.3009010	16.6544811
Andělská_Hora	357	50.0608138	17.3890959
Aš	12684	50.2216257	12.1895886
Bakov_nad_Jizerou	5355	50.4801187	14.9388306
Bavorov	1683	49.1215197	14.0786042
Bechyně	4815	49.2953802	14.4688400
Benešov	17043	49.7828898	14.6875926
Benešov_nad_Ploučnicí	3526	50.7413413	14.3112047
Benátky_nad_Jizerou	7879	50.2917670	14.8260014
Beroun	21521	49.9640292	14.0733907
Bezdružice	931	49.9072420	12.9711049
Bečov_nad_Teplou	903	50.0835097	12.8386736
Blansko	20002	49.3636494	16.6442394
Blatná	6669	49.4239848	13.8840972
Blovice	4207	49.5821789	13.5403535
Blšany	1046	50.2173339	13.4712007
Bochov	1874	50.1504167	13.0454108
Bohumín	20315	49.9041537	18.3574288
Bohušovice_nad_Ohří	2415	50.4931600	14.1504836
Bojkovice	4422	49.0389132	17.8148347
Bor	4889	49.7117435	12.7752132
Borohrádek	2062	50.0978039	16.0932512
Borovany	4184	48.8998724	14.6419628
Boskovice	12508	49.4877983	16.6601600
Boží_Dar	255	50.4097338	12.9244538
Brandýs_nad_Labem-Stará_Boleslav	20313	50.1912412	14.6649786
Brandýs_nad_Orlicí	1300	50.0019438	16.2852790
Brno	402739	49.1922443	16.6113382
Broumov	7108	50.5854557	16.3322957
Brtnice	3817	49.3068037	15.6766872
Brumov-Bylnice	5400	49.0914652	18.0226805
Bruntál	15037	49.9885113	17.4652901
Brušperk	4164	49.7003751	18.2216061
Budišov_nad_Budišovkou	2801	49.7949749	17.6289202
Budyně_nad_Ohří	2159	50.4042725	14.1259073
Bučovice	6891	49.1492236	17.0018640
Buštěhrad	3995	50.1558258	14.1888170
Bystré	1563	49.6282564	16.3469811
Bystřice	4698	49.7321319	14.6674010
Bystřice_nad_Pernštejnem	7871	49.5229885	16.2610589
Bystřice_pod_Hostýnem	8002	49.3994510	17.6737912
Bzenec	4561	48.9736321	17.2668112
Bílina	14497	50.5486059	13.7746622
Bílovec	7411	49.7567664	18.0162300
Bělá_nad_Radbuzou	1754	49.5913115	12.7175309
Bělá_pod_Bezdězem	4804	50.5014795	14.8041263
Bělčice	1024	49.5026548	13.8758456
Břeclav	24538	48.7594008	16.8813137
Březnice	3577	49.5573532	13.9508490
Březová	2664	49.9040777	13.8830074
Březová_nad_Svitavou	1569	49.6447658	16.5174116
Břidličná	2874	49.9116692	17.3710729
Chabařovice	2545	50.6728303	13.9424879
Cheb	32808	50.0793562	12.3703530
Chlumec	4257	48.8710287	14.3952883
Chlumec_nad_Cidlinou	5609	50.1543950	15.4603384
Choceň	8641	50.0010925	16.2240034
Chodov	12609	49.4178263	12.8301371
Chomutov	46771	50.4606456	13.4178324
Chotěboř	9092	49.7202055	15.6704437
Chrast	3150	49.9018929	15.9340257
Chrastava	6315	50.8172919	14.9688590
Chropyně	4642	49.3567094	17.3644698
Chrudim	23564	49.9511458	15.7947559
Chvaletice	2925	50.0348654	15.4184231
Chyše	583	50.1045405	13.2488514
Chýnov	2568	49.4067686	14.8112157
Chýně	4965	50.0606462	14.2272998
Chřibská	1333	50.8632420	14.4829700
Cvikov	4534	50.7766765	14.6329751
Dačice	7157	49.0818108	15.4372160
Dašice	2692	50.0284447	15.9124400
Desná	2999	49.8075422	16.2240471
Deštná	754	49.2651773	14.9238356
Dobrovice	3671	50.3693260	14.9623322
Dobruška	6532	50.2921062	16.1605457
Dobřany	6504	49.6554407	13.2908386
Dobřichovice	3772	49.9275312	14.2743416
Dobříš	8870	49.7813749	14.1704372
Doksy	5115	50.1183818	14.0467382
Dolní_Benešov	3869	49.9210128	18.1083515
Dolní_Bousov	3011	50.4384383	15.1276531
Dolní_Kounice	2571	49.0702561	16.4649901
Dolní_Poustevna	1668	50.9803948	14.2873374
Domažlice	11133	49.4403546	12.9297480
Dubá	1672	50.5403416	14.5402337
Dubí	8114	50.6812997	13.7887710
Dubňany	6202	48.9175078	17.0955296
Duchcov	8695	50.6040315	13.7461464
Dvůr_Králové_nad_Labem	15322	50.4319053	15.8139947
Děčín	46376	50.7824196	14.2147221
Františkovy_Lázně	5607	50.1223741	12.3488519
Frenštát_pod_Radhoštěm	10554	49.5474224	18.2117067
Fryšták	3834	49.2852044	17.6834631
Frýdek-Místek	53590	49.6856350	18.3483416
Frýdlant	7379	50.9216775	15.0794594
Frýdlant_nad_Ostravicí	9835	49.5930718	18.3596301
Fulnek	5472	49.7126449	17.9031553
Golčův_Jeníkov	2821	49.8160108	15.4772768
Habartov	4691	50.1825705	12.5501639
Habry	1309	49.7564454	15.4848445
Hanušovice	2889	50.0784174	16.9347166
Harrachov	1388	50.7720087	15.4315431
Hartmanice	922	49.1703098	13.4548124
Havlíčkův_Brod	23791	49.6069420	15.5795748
Havířov	68674	49.7801136	18.4368451
Hejnice	2751	50.0558831	16.3994139
Heřmanův_Městec	4964	49.9470444	15.6646587
Hlinsko	9563	49.7625672	15.9073390
Hluboká_nad_Vltavou	5626	49.0522493	14.4342702
Hluk	4254	48.9883280	17.5268918
Hlučín	13352	49.8967550	18.1870424
Hodkovice_nad_Mohelkou	2994	50.6656427	15.0901298
Hodonín	23517	48.8563914	17.1234655
Holešov	11616	49.3337180	17.5786751
Holice	6761	50.0662793	15.9858513
Holýšov	5647	49.5936108	13.1012935
Hora_Svaté_Kateřiny	479	50.6062324	13.4369475
Horažďovice	5103	49.3210308	13.7003604
Horní_Benešov	2205	49.9668211	17.6026237
Horní_Blatná	365	50.3902893	12.7702188
Horní_Bříza	4066	49.8411529	13.3573652
Horní_Cerekev	1871	49.3192961	15.3291878
Horní_Jelení	2119	50.0490103	16.0839638
Horní_Jiřetín	2176	50.5730927	13.5471700
Horní_Planá	1943	48.7673396	14.0321919
Horní_Slavkov	5309	50.1390720	12.8077875
Horšovský_Týn	5046	49.5298566	12.9436692
Hostinné	4151	50.5409308	15.7232850
Hostivice	9179	50.0815167	14.2585743
Hostomice	1935	49.8252575	14.0456045
Hostouň	1213	50.1143862	14.2012762
Hořice	8476	50.3665337	15.6321735
Hořovice	8055	49.8363239	13.9028670
Hoštka	1768	50.4885904	14.3349996
Hradec_Králové	94311	50.2092113	15.8327512
Hradec_nad_Moravicí	5459	49.8709009	17.8754742
Hranice_(Přerov)	17969	49.5481764	17.7347407
Hrob	1990	50.6590894	13.7255293
Hrochův_Týnec	2307	49.9594637	15.9105428
Hronov	6094	50.4799692	16.1820196
Hrotovice	1784	49.1076992	16.0606741
Hroznětín	2162	50.3093974	12.8718012
Hrušovany_nad_Jevišovkou	3377	48.8299011	16.4022403
Hrádek	2754	48.7731024	16.2717745
Hrádek_nad_Nisou	8001	50.8522229	14.8436667
Hulín	6414	49.3170041	17.4634978
Humpolec	11522	49.5418861	15.3586709
Husinec	1405	50.1737416	14.3750778
Hustopeče	6388	48.9399831	16.7369738
Ivanovice_na_Hané	2978	49.3054490	17.0936032
Ivančice	9898	49.1015881	16.3776051
Jablonec_nad_Jizerou	1609	50.7034400	15.4295952
Jablonec_nad_Nisou	46209	50.7240899	15.1710958
Jablonné_nad_Orlicí	3078	50.0296516	16.6001654
Jablonné_v_Podještědí	3704	50.7657554	14.7614324
Jablunkov	5257	49.5767408	18.7645761
Janov	256	50.2104016	13.6398017
Janovice_nad_Úhlavou	2464	49.3452626	13.2175818
Janské_Lázně	658	50.6305685	15.7806938
Jaroměř	12483	50.3555139	15.9189129
Jaroměřice_nad_Rokytnou	4087	49.0943503	15.8932579
Javorník	2574	49.6864955	15.0265313
Jemnice	3964	49.0192524	15.5698865
Jesenice_(Rakovník)	1632	50.0984577	13.4717743
Jeseník	10456	50.2296385	17.2046012
Jevišovice	1159	48.9874765	15.9896915
Jevíčko	2822	49.6324875	16.7118442
Jihlava	54624	49.3960640	15.5903065
Jilemnice	5377	50.6091761	15.5064747
Jindřichův_Hradec	20540	49.1443265	15.0033540
Jirkov	19240	50.5000597	13.4476266
Jistebnice	2132	49.4855868	14.5277008
Jičín	16101	50.4370452	15.3516528
Jiříkov	3507	50.9951393	14.5690963
Jáchymov	2304	50.3629787	12.9299257
Jílové	4932	50.7610971	14.1041986
Jílové_u_Prahy	5262	49.8952972	14.4933502
Kadaň	18090	50.3761991	13.2710364
Kamenice_nad_Lipou	3651	49.3031180	15.0754914
Kamenický_Šenov	3811	50.7735891	14.4728675
Kaplice	7531	48.7389045	14.4937180
Kardašova_Řečice	2221	49.1847779	14.8531546
Karlovy_Vary	49073	50.2306216	12.8701437
Karolinka	2373	49.3512769	18.2400622
Karviná	48937	49.8542719	18.5416556
Kasejovice	1441	49.4625179	13.7406640
Kaznějov	3085	49.8931303	13.3829479
Kašperské_Hory	1367	49.1434723	13.5560577
Kdyně	5153	49.3910021	13.0392655
Kelč	2673	49.4786945	17.8154631
Kladno	69664	50.1466053	14.1026398
Kladruby	1682	49.7231666	14.9500494
Klatovy	22763	49.3951183	13.2935954
Klecany	3938	50.1756713	14.4117052
Klimkovice	4454	49.7884424	18.1254099
